Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
Moncur Park,34999896,10 GAINSBOROUGH RD,Toronto,Ontario,M4L 3C2,Canada,Other - Public Services,258,Sq. Ft.
Montclair Ave Parkette,34999897,48 MONTCLAIR AVE,Toronto,Ontario,M5P 2W1,Canada,Other - Public Services,1,Sq. Ft.
Maryland Park Tennis Clubhouse,34999878,19 Maryland Blvd,Toronto,Ontario,M4C 1R2,Canada,Other - Public Services,1,Sq. Ft.
Maryvale Park,34999879,1325 PHARMACY AVE,Scarborough,Ontario,M1R 2J1,Canada,Other - Public Services,226,Sq. Ft.
Martin Grove House / Bungalow,34999876,412 MARTIN GROVE RD,Etobicoke,Ontario,M9B 4L9,Canada,Other - Public Services,232,Sq. Ft.
Martingrove Gardens Park,34999877,31 LAVINGTON DR,Etobicoke,Ontario,M9R 2H1,Canada,Other - Public Services,1,Sq. Ft.
Marie Curtis Park,34999874,2 Forty-Second St,Etobicoke,Ontario,M8W 3P2,Canada,Other - Public Services,228,Sq. Ft.
Maria Street Parkette,34999872,240 Maria St.,Toronto,Ontario,M6P 1W4,Canada,Other - Public Services,1,Sq. Ft.
Marian Engel Park,34999873,285 Melita Ave.,Toronto,Ontario,M6G 3X3,Canada,Other - Public Services,1,Sq. Ft.
Memorial Park,34999886,340 CHAPLIN CRES,Toronto,Ontario,M5N 2N3,Canada,Other - Public Services,238,Sq. Ft.
Metered Park Lighting,34999887,Metered Park Lighting,Toronto,Ontario,M5V 3C6,Canada,Other - Public Services,1,Sq. Ft.
McNicoll Park,34999884,215 MCNICOLL AVE,North York,Ontario,M2H 2C6,Canada,Other - Public Services,227,Sq. Ft.
Mel Lastman Square,34999885,5100 YONGE ST,North York,Ontario,M2N 5V7,Canada,Other - Public Services,237,Sq. Ft.
McCleary Park,34999882,755 LAKE SHORE BLVD E,Toronto,Ontario,M4M 1A9,Canada,Other - Public Services,229,Sq. Ft.
McCowan District Park,34999883,150 McCOWAN RD,Scarborough,Ontario,M1M 2A4,Canada,Other - Public Services,1,Sq. Ft.
Matty Eckler Playground,34999880,953 GERRARD ST E,Toronto,Ontario,M4M 1Z4,Canada,Other - Public Services,261,Sq. Ft.
McAllister Park,34999881,31 McAllister Rd.,North York,Ontario,M3H 2N1,Canada,Other - Public Services,1,Sq. Ft.
Osler Walkway,34999926,16A Osler St,Toronto,Ontario,M6P 4A2,Canada,Other - Public Services,1,Sq. Ft.
Otter Creek Centre,34999927,125 CHATSWORTH DR,Toronto,Ontario,M4R 1S1,Canada,Other - Public Services,254,Sq. Ft.
Oriole Park,34999924,201 ORIOLE PKWY,Toronto,Ontario,M5P 2H1,Canada,Other - Public Services,259,Sq. Ft.
Osler Playground,34999925,123 ARGYLE ST,Toronto,Ontario,M6J 1N9,Canada,Other - Public Services,260,Sq. Ft.
Olympic Island Buildings,34999922,0 Olympic Isld,Toronto,Ontario,M5J 2V3,Canada,Other - Public Services,255,Sq. Ft.
Orchard Park,34999923,1987 Dundas St. E,Toronto,Ontario,M4L 1M7,Canada,Other - Public Services,1,Sq. Ft.
Old Orchard Park,34999920,465 OLD ORCHARD GRV,Toronto,Ontario,M5M 2G3,Canada,Other - Public Services,1,Sq. Ft.
Olive Square Park,34999921,5575 YONGE ST,North York,Ontario,M2N 5S4,Canada,Other - Public Services,1,Sq. Ft.
Perth Avenue Parkette,34999934,160 Perth Ave.,Toronto,Ontario,M6P 3X5,Canada,Other - Public Services,1,Sq. Ft.
Perth Square Park,34999935,350 PERTH AVE,Toronto,Ontario,M6P 3Y3,Canada,Other - Public Services,266,Sq. Ft.
Parks Various Locations,34999932,Various Locations,Toronto,Ontario,M5V 3C6,Canada,Other - Public Services,1,Sq. Ft.
Parkway Forest Park,34999933,59 FOREST MANOR RD,North York,Ontario,M2J 0C2,Canada,Other - Public Services,132,Sq. Ft.
Pantry Park,34999930,70 KEWBEACH AVE,Toronto,Ontario,M4L 1B8,Canada,Other - Public Services,274,Sq. Ft.
Parklawn Pool/Rink,34999931,340 PARK LAWN RD,Etobicoke,Ontario,M8Y 3K4,Canada,Other - Public Services,263,Sq. Ft.
Ourland Pool (outdoor),34999928,36 OURLAND AVE,Etobicoke,Ontario,M8Z 4C9,Canada,Other - Public Services,257,Sq. Ft.
Page Parkette,34999929,23 Valliere Pl,North York,Ontario,M2K 2E1,Canada,Other - Public Services,1,Sq. Ft.
North Humber Park,34999910,2851 KIPLING AVE,Etobicoke,Ontario,M9V 5E5,Canada,Other - Public Services,1,Sq. Ft.
North Toronto Lawn Bowling & Croquet Club,34999911,200 LYTTON BLVD,Toronto,Ontario,M4R 1L4,Canada,Other - Public Services,217,Sq. Ft.
North Bendale Park,34999908,40 Erinlea Cres.,Scarborough,Ontario,M1H 2P4,Canada,Other - Public Services,1,Sq. Ft.
North Bridlewood Park,34999909,11 ADENCLIFF RD,Scarborough,Ontario,M1W 1M8,Canada,Other - Public Services,1,Sq. Ft.
Nightstar Park,34999906,18 NIGHTSTAR RD,Scarborough,Ontario,M1X 1Z8,Canada,Other - Public Services,1,Sq. Ft.
Norman Jewison Park,34999907,13 ISABELLA ST,Toronto,Ontario,M4Y 1M7,Canada,Other - Public Services,1,Sq. Ft.
Nathan Phillips Square,34999904,100 QUEEN ST W,Toronto,Ontario,M5H 2N1,Canada,Other - Public Services,62,Sq. Ft.
Neilson House,34999905,1555 NEILSON RD,Scarborough,Ontario,M1B 5Z7,Canada,Other - Public Services,249,Sq. Ft.
Oakridge Park,34999918,3459 DANFORTH AVE,Scarborough,Ontario,M1L 1C9,Canada,Other - Public Services,1,Sq. Ft.
Oates Park,34999919,10 Oates Dr,Scarborough,Ontario,M1L 0A9,Canada,Other - Public Services,253,Sq. Ft.
Oakcrest Parkette,34999916,30 OAKCREST AVE,Toronto,Ontario,M4C 1B4,Canada,Other - Public Services,256,Sq. Ft.
Oakdale VIllage Park,34999917,95 FRED YOUNG DR,North York,Ontario,M3L 1E8,Canada,Other - Public Services,252,Sq. Ft.
Northwood Park,34999914,15 CLUBHOUSE CRT,North York,Ontario,M3L 2L7,Canada,Other - Public Services,251,Sq. Ft.
Norwood Park,34999915,16 NORWOOD RD,Toronto,Ontario,M4E 2R8,Canada,Other - Public Services,248,Sq. Ft.
Northcliffe Parkette,34999912,1114 ST CLAIR AVE W,Toronto,Ontario,M6E 1A4,Canada,Other - Public Services,1,Sq. Ft.
Northern Linear Park,34999913,4 BLUE JAYS WAY,Toronto,Ontario,M5V 3S9,Canada,Other - Public Services,1,Sq. Ft.
Regent Park South Rink,34999958,480 SHUTER ST,Toronto,Ontario,M5A 3K1,Canada,Other - Public Services,294,Sq. Ft.
Rennie Park,34999959,1 RENNIE TER,Toronto,Ontario,M6S 3C6,Canada,Other - Public Services,283,Sq. Ft.
Redpath Avenue Parkette,34999956,130 Erskine Ave.,Toronto,Ontario,M4P 1Z1,Canada,Other - Public Services,1,Sq. Ft.
Regan Park,34999957,9310 Sheppard Ave E,Toronto,Ontario,M5H 2T5,Canada,Other - Public Services,282,Sq. Ft.
Reading Sprouts Garden,34999954,77 Whitbread Cres,North York,Ontario,M3L 2A8,Canada,Other - Public Services,1,Sq. Ft.
Rean Park,34999955,7 REAN DR,North York,Ontario,M2K 3C2,Canada,Other - Public Services,1,Sq. Ft.
Randy Padmore Park,34999952,47 DENISON AVE,Toronto,Ontario,M5T 2M7,Canada,Other - Public Services,77,Sq. Ft.
Ravina Gardens,34999953,290 CLENDENAN AVE,Toronto,Ontario,M6P 2X3,Canada,Other - Public Services,301,Sq. Ft.
Riverdale Park West,34999966,500 GERRARD ST E,Toronto,Ontario,M5A 2H3,Canada,Other - Public Services,303,Sq. Ft.
Robertson Parkette,34999967,1549 DANFORTH AVE,Toronto,Ontario,M4J 1N8,Canada,Other - Public Services,1,Sq. Ft.
Rivercrest Rink,34999964,30 HAREFIELD DR,Etobicoke,Ontario,M9W 4C9,Canada,Other - Public Services,1,Sq. Ft.
Riverdale Park East,34999965,550 BROADVIEW AVE,Toronto,Ontario,M4K 2N1,Canada,Other - Public Services,302,Sq. Ft.
Richview Park,34999962,100 WIDDICOMBE HILL BLVD,Etobicoke,Ontario,M9R 4A6,Canada,Other - Public Services,1,Sq. Ft.
Ridge Park,34999963,85 RIDGE RD,North York,Ontario,M3M 1C6,Canada,Other - Public Services,1,Sq. Ft.
Rexlington Park,34999960,30 BERGAMOT AVE,Etobicoke,Ontario,M9W 1V9,Canada,Other - Public Services,1,Sq. Ft.
Richmond Gardens Pool (outdoor),34999961,44 STRATHDEE DR,Etobicoke,Ontario,M9R 1A4,Canada,Other - Public Services,284,Sq. Ft.
Port Union Village Common Park,34999942,105 Bridgend St,Scarborough,Ontario,M1C 5G5,Canada,Other - Public Services,7,Sq. Ft.
Prairie Drive Park,34999943,70 PRAIRIE DR,Scarborough,Ontario,M1L 1L4,Canada,Other - Public Services,265,Sq. Ft.
Polson Street Park,34999940,318 Cherry St,Toronto,Ontario,M5A 2E0,Canada,Other - Public Services,278,Sq. Ft.
Poplar Plains Parkette,34999941,125 BOULTON DR,Toronto,Ontario,M4V 2V5,Canada,Other - Public Services,272,Sq. Ft.
Pine Point Pool,34999938,15 GRIERSON RD,Etobicoke,Ontario,M9W 3R2,Canada,Other - Public Services,268,Sq. Ft.
Playter Gardens,34999939,4 Cambridge Ave.,Toronto,Ontario,M4K 2L1,Canada,Other - Public Services,1,Sq. Ft.
Phin Ave Parkette,34999936,115 CONDOR AVE,Toronto,Ontario,M4J 3N2,Canada,Other - Public Services,267,Sq. Ft.
Pine Point Park,34999937, NORFIELD CRES,Etobicoke,Ontario,M9W 1X6,Canada,Other - Public Services,8,Sq. Ft.
R.V. Burgess Park,34999950,48 Thorncliffe Park Dr.,East York,Ontario,M4H 1J7,Canada,Other - Public Services,1,Sq. Ft.
Ramsden Park,34999951,1020 YONGE ST,Toronto,Ontario,M4W 2K9,Canada,Other - Public Services,287,Sq. Ft.
Queen's Park,34999948,0 Queen's Park,Toronto,Ontario,M5S 2C3,Canada,Other - Public Services,1,Sq. Ft.
Queensway Park,34999949,8 AVON PARK DR,Toronto,Ontario,M6N 3W7,Canada,Other - Public Services,280,Sq. Ft.
Prince Of Wales Park,34999946,1 THIRD ST,Etobicoke,Ontario,M8V 2X6,Canada,Other - Public Services,277,Sq. Ft.
Princess Park,34999947, DORIS AVE,North York,Ontario,M2N 6T3,Canada,Other - Public Services,276,Sq. Ft.
Prescott Parkette,34999944,3 PRESCOTT AVE,Toronto,Ontario,M6N 3G6,Canada,Other - Public Services,1,Sq. Ft.
Pricefield Road Playground,34999945,50 PRICEFIELD RD,Toronto,Ontario,M4W 1Z9,Canada,Other - Public Services,1,Sq. Ft.
Sentinel Park Baseball,34999990,295 SENTINEL RD,North York,Ontario,M3J 1T8,Canada,Other - Public Services,313,Sq. Ft.
Serena Gundy Park,34999991,58 RYKERT CRES,East York,Ontario,M4G 2S9,Canada,Other - Public Services,1,Sq. Ft.
Seasons Park,34999988,40 Seasons Dr,Scarborough,Ontario,M1X 1X4,Canada,Other - Public Services,1,Sq. Ft.
Seneca Hill Park,34999989,620 SENECA HILL DR,North York,Ontario,M2J 4S7,Canada,Other - Public Services,312,Sq. Ft.
Scarborough Village Park Fieldhouse,34999986,23 GATESVIEW AVE,Scarborough,Ontario,M1J 3G4,Canada,Other - Public Services,330,Sq. Ft.
Scarlett Woods Golf Course,34999987,1000 JANE ST,Toronto,Ontario,M6N 4E2,Canada,Other - Public Services,333,Sq. Ft.
Sackville Playground,34999984,420 KING ST E,Toronto,Ontario,M5A 1L4,Canada,Other - Public Services,1,Sq. Ft.
Sadra Park,34999985,10 Blackthorn Av,Toronto,Ontario,M6N 3H5,Canada,Other - Public Services,305,Sq. Ft.
Sir Adam Beck Park,34999998,55 ELTHAM DR,Etobicoke,Ontario,M8W 2J1,Canada,Other - Public Services,1,Sq. Ft.
Sir Adam Beck Rink,34999999,6 ORIANNA DR,Etobicoke,Ontario,M8W 4Y1,Canada,Other - Public Services,317,Sq. Ft.
Sherwood Park,34999996,190 SHERWOOD AVE,Toronto,Ontario,M4P 2A9,Canada,Other - Public Services,316,Sq. Ft.
Silvio Colella Park,34999997,20 LAURA RD,North York,Ontario,M3N 1Z6,Canada,Other - Public Services,216,Sq. Ft.
Shawn Blu Rose Park,34999994,30 EMPRINGHAM DR,Scarborough,Ontario,M1B 3Y9,Canada,Other - Public Services,1,Sq. Ft.
Sherbourne Common Park,34999995,61 DOCKSIDE DR,Toronto,Ontario,M5A 1B4,Canada,Other - Public Services,1,Sq. Ft.
Sergeant Ryan Russell Parkette,34999992,250 Avenue Rd,Toronto,Ontario,M5R 1V2,Canada,Other - Public Services,1,Sq. Ft.
Seven Oaks Park,34999993,372 MILITARY TRL,Scarborough,Ontario,M1E 4E2,Canada,Other - Public Services,321,Sq. Ft.
Rotary Peace Park Pool (outdoor),34999974,25 ELEVENTH ST,Etobicoke,Ontario,M8V 3G2,Canada,Other - Public Services,299,Sq. Ft.
Rouge Beach Park,34999975,195 ROUGE HILLS DR,Scarborough,Ontario,M1C 2Y9,Canada,Other - Public Services,281,Sq. Ft.
Rosetta Mcclain Gardens,34999972,5 GLEN EVEREST RD,Scarborough,Ontario,M1N 1J2,Canada,Other - Public Services,288,Sq. Ft.
Rotary Peace Park,34999973,153 LAKE SHORE DR,Etobicoke,Ontario,M8V 2A1,Canada,Other - Public Services,1,Sq. Ft.
Roseneath Park,34999970,15 GLENHURST AVE,Toronto,Ontario,M6C 3X4,Canada,Other - Public Services,1,Sq. Ft.
Rosethorn Park,34999971, REMINGTON DR,Etobicoke,Ontario,M9A 1N5,Canada,Other - Public Services,1,Sq. Ft.
Rose Garden Park,34999968,Rosegarden Park,Toronto,Ontario,M6K 3C3,Canada,Other - Public Services,290,Sq. Ft.
Rosedale Park,34999969,20 SCHOLFIELD AVE,Toronto,Ontario,M4W 2Y3,Canada,Other - Public Services,297,Sq. Ft.
Rustic Park,34999982,35 RAVEN RD,North York,Ontario,M6L 2A5,Canada,Other - Public Services,1,Sq. Ft.
Ryerson Community Park,34999983,50 GOULD ST,Toronto,Ontario,M5B 2M7,Canada,Other - Public Services,296,Sq. Ft.
Ruddington Park,34999980,75 RUDDINGTON DR,North York,Ontario,M2K 2X8,Canada,Other - Public Services,300,Sq. Ft.
Runnymede Park,34999981,221 RYDING AVE,Toronto,Ontario,M6N 1H6,Canada,Other - Public Services,289,Sq. Ft.
Royalcrest Rink,34999978,50 CABERNET CRCL,Etobicoke,Ontario,M9V 5A2,Canada,Other - Public Services,291,Sq. Ft.
Roywood Park R.C. Clubhouse,34999979,2 ROYWOOD DR,North York,Ontario,M3A 2C6,Canada,Other - Public Services,292,Sq. Ft.
Rowntree Mills Park,34999977,155 ROWNTREE MILL RD,Etobicoke,Ontario,M9V 5C2,Canada,Other - Public Services,298,Sq. Ft.
Strathburn Park,35000022,55 STRATHBURN BLVD,North York,Ontario,M9M 2K5,Canada,Other - Public Services,1,Sq. Ft.
Sugar Beach Park,35000023,11 Dockside Dr,Toronto,Ontario,M5A 1B6,Canada,Other - Public Services,327,Sq. Ft.
Steeles Ave and Track & Field Rd,35000020,Steeles Ave and Track & Field Rd,Concord,Ontario,L4K 0A0,Canada,Other - Public Services,1,Sq. Ft.
Stephenson Park,35000021,61 STEPHENSON AVE,Toronto,Ontario,M4C 1E9,Canada,Other - Public Services,1,Sq. Ft.
Stanley Park South,35000018,890 KING ST W,Toronto,Ontario,M5V 3H5,Canada,Other - Public Services,1,Sq. Ft.
Starry Park,35000019,505 STAINES RD,Scarborough,Ontario,M1X 2B7,Canada,Other - Public Services,1,Sq. Ft.
Stanley Greene Park,35000016,55 Stanley Greene Blvd.,North York,Ontario,M3K 1X1,Canada,Other - Public Services,1,Sq. Ft.
Stanley Park North,35000017,890 KING ST W,Toronto,Ontario,M5V 3H5,Canada,Other - Public Services,326,Sq. Ft.
Suydam Park,35000030,22 RELMAR RD,Toronto,Ontario,M5P 2Y4,Canada,Other - Public Services,311,Sq. Ft.
Sweeney Park,35000031,110 SWEENEY DR,North York,Ontario,M4A 1T7,Canada,Other - Public Services,332,Sq. Ft.
Sunnyside Park,35000028,1755 LAKE SHORE BLVD W,Toronto,Ontario,M6S 5A3,Canada,Other - Public Services,320,Sq. Ft.
Superior Park,35000029,1 SUPERIOR AVE,Etobicoke,Ontario,M8V 2M1,Canada,Other - Public Services,1,Sq. Ft.
Sunnybrook Stable,35000026,1132 LESLIE ST,North York,Ontario,M3C 3L7,Canada,Other - Public Services,271,Sq. Ft.
Sunnydale Acres Park,35000027,50 AMORO DR,Etobicoke,Ontario,M9W 4S4,Canada,Other - Public Services,329,Sq. Ft.
Summerlea Park,35000024,450 ALBION RD,Etobicoke,Ontario,M9W 3P7,Canada,Other - Public Services,328,Sq. Ft.
Sunnybrook Park,35000025,1132 LESLIE ST,North York,Ontario,M3C 3L7,Canada,Other - Public Services,308,Sq. Ft.
Southern Linear Park,35000006,350 Lakeshore Blvd W,Toronto,Ontario,M5V 3V7,Canada,Other - Public Services,1,Sq. Ft.
Spadina Road Park,35000007,210 SPADINA RD,Toronto,Ontario,M5R 2V1,Canada,Other - Public Services,323,Sq. Ft.
Smythe Park,35000004, SCARLETT RD,Toronto,Ontario,M6N 2K6,Canada,Other - Public Services,319,Sq. Ft.
Sorauren Avenue Park Fieldhouse,35000005,50 Wabash Ave.,Toronto,Ontario,M6R 1N2,Canada,Other - Public Services,1,Sq. Ft.
Six Points Park,35000002,10 Viking Lane,Etobicoke,Ontario,M9B 6L9,Canada,Other - Public Services,1,Sq. Ft.
Smithfield Park Outdoor Pool,35000003,173 MOUNT OLIVE DR,Etobicoke,Ontario,M9V 2E3,Canada,Other - Public Services,314,Sq. Ft.
Sir Winston Churchill Park,35000000,301 ST CLAIR AVE W,Toronto,Ontario,M4V 1S4,Canada,Other - Public Services,331,Sq. Ft.
Sisken Trail Park,35000001,157 Staines Rd,Scarborough,Ontario,M1X 1V3,Canada,Other - Public Services,1,Sq. Ft.
St. Alban's Square,35000014,90 Howland Ave.,Toronto,Ontario,M5R 3C3,Canada,Other - Public Services,1,Sq. Ft.
Stan Wadlow Park,35000015,888 COSBURN AVE,Toronto,Ontario,M4C 4K7,Canada,Other - Public Services,1,Sq. Ft.
St James Park,35000012,120 King St E,Toronto,Ontario,M5C 1G6,Canada,Other - Public Services,1,Sq. Ft.
St Jamestown West Park,35000013,120 KING ST E,Toronto,Ontario,M5C 1G6,Canada,Other - Public Services,318,Sq. Ft.
St Clements-Yonge Parkette,35000010,14 ST CLEMENTS AVE,Toronto,Ontario,M4R 1G9,Canada,Other - Public Services,1,Sq. Ft.
Spenvalley Park,35000008,130 SPENVALLEY DR,North York,Ontario,M3L 1Z5,Canada,Other - Public Services,1,Sq. Ft.
St Andrew's Playground,35000009,450 ADELAIDE ST W,Toronto,Ontario,M5V 1T1,Canada,Other - Public Services,307,Sq. Ft.
Tubs & Gee Gage Rugby Field,35000054,1091 Eastern Avenue,Toronto,Ontario,M4L 1G5,Canada,Other - Public Services,1,Sq. Ft.
Ukranian Canadian Memorial Park,35000055,565 SCARLETT RD,Etobicoke,Ontario,M9P 2S4,Canada,Other - Public Services,1,Sq. Ft.
Trinity Square,35000052,19 TRINITY SQ,Toronto,Ontario,M5G 1B1,Canada,Other - Public Services,349,Sq. Ft.
Trumpeter Park,35000053,33A Panda Sq,Scarborough,Ontario,M1B 6G5,Canada,Other - Public Services,1,Sq. Ft.
Trinity Bellwoods Park,35000050,790 QUEEN ST W,Toronto,Ontario,M6J 1G3,Canada,Other - Public Services,338,Sq. Ft.
Trinity Bellwoods Park Outdoor Rink,35000051,790 QUEEN ST W,Toronto,Ontario,M6J 1G3,Canada,Other - Public Services,337,Sq. Ft.
Tournament Park,35000048,40 TOURNAMENT DR,North York,Ontario,M2P 1K2,Canada,Other - Public Services,341,Sq. Ft.
Town Hall Square,35000049,25 Yorkville Ave.,Toronto,Ontario,M4W 1L4,Canada,Other - Public Services,1,Sq. Ft.
Vermont Square Park,35000062,819 PALMERSTON AVE,Toronto,Ontario,M6G 2R8,Canada,Other - Public Services,1,Sq. Ft.
Victoria Memorial Square Park,35000063,539 Wellington Ave. W,Toronto,Ontario,M5V 3L8,Canada,Other - Public Services,1,Sq. Ft.
Upper Junction Park,35000060,99 Birdstone Cres.,Toronto,Ontario,M6N 5H5,Canada,Other - Public Services,1,Sq. Ft.
Valleyfield Outdoor Rink,35000061,35 THE WESTWAY,Etobicoke,Ontario,M9P 2B4,Canada,Other - Public Services,353,Sq. Ft.
Unmetered Park Lighting,35000058,Unmetered Park Lighting,Toronto,Ontario,M5V 3C6,Canada,Other - Public Services,1,Sq. Ft.
Unwin Nursery,35000059,275 UNWIN AVE,Toronto,Ontario,M5A 1A3,Canada,Other - Public Services,1,Sq. Ft.
Underpass Park,35000056,33 ST LAWRENCE ST,Toronto,Ontario,M5A 3M9,Canada,Other - Public Services,352,Sq. Ft.
University Avenue Islands,35000057,University Ave.,Toronto,Ontario,M5V 3C6,Canada,Other - Public Services,351,Sq. Ft.
Thomas Riley Park,35000038, BLOOR ST W,Etobicoke,Ontario,M8X 1E1,Canada,Other - Public Services,346,Sq. Ft.
Thomson Memorial Park,35000039,1005 BRIMLEY RD,Scarborough,Ontario,M1P 3E8,Canada,Other - Public Services,348,Sq. Ft.
Taylor Creek Park,35000036,260 DAWES,Toronto,Ontario,M4C 5M8,Canada,Other - Public Services,339,Sq. Ft.
The Mission Ground,35000037,399 MERTON ST,Toronto,Ontario,M4S 1B4,Canada,Other - Public Services,342,Sq. Ft.
Taddle Creek Park,35000034,40 BEDFORD RD,Toronto,Ontario,M5R 2K1,Canada,Other - Public Services,335,Sq. Ft.
Tam O'shanter Golf Course,35000035,2481 BIRCHMOUNT RD,Scarborough,Ontario,M1T 2M6,Canada,Other - Public Services,343,Sq. Ft.
Syd Cole Park,35000032,60 EASTWOOD PARK GDNS,Etobicoke,Ontario,M8W 1N6,Canada,Other - Public Services,1,Sq. Ft.
Symington Avenue Playground,35000033,431 PERTH AVE,Toronto,Ontario,M6P 3W9,Canada,Other - Public Services,1,Sq. Ft.
Toronto Sculpture Gardens,35000046,115 KING ST E,Toronto,Ontario,M5C 1G6,Canada,Other - Public Services,200,Sq. Ft.
Totts Tot Lot,35000047,1 GRADWELL DR,Scarborough,Ontario,M1M 2N1,Canada,Other - Public Services,345,Sq. Ft.
Topham Park Clubhouse,35000044,1 TIAGO AVE,East York,Ontario,M4B 1Z9,Canada,Other - Public Services,344,Sq. Ft.
Toronto Island Filtration Plant,35000045,446 LAKESHORE AVE,Toronto,Ontario,M5J 2H3,Canada,Other - Public Services,340,Sq. Ft.
Tommy Thompson Park,35000042,1 Leslie St,Toronto,Ontario,M4M 3M2,Canada,Other - Public Services,1125,Sq. Ft.
Topham Park,35000043,181 WESTVIEW BLVD,East York,Ontario,M4B 1Z9,Canada,Other - Public Services,1,Sq. Ft.
Three Valleys Park,35000040,82 THREE VALLEYS DR,North York,Ontario,M3A 3B7,Canada,Other - Public Services,350,Sq. Ft.
TO Ward's Island,35000041,0 Cibola Ave,Toronto,Ontario,M5J 2W6,Canada,Other - Public Services,1,Sq. Ft.
Westmount Outdoor Pool,35000086,22 ARCADE DR,Etobicoke,Ontario,M9P 2V9,Canada,Other - Public Services,376,Sq. Ft.
West Toronto Rail Path,35000084,385 Wallace Ave,Toronto,Ontario,M6P 3N8,Canada,Other - Public Services,1,Sq. Ft.
Westgrove Outdoor Pool & AIR,35000085,15 REDGRAVE DR,Etobicoke,Ontario,M9R 3T9,Canada,Other - Public Services,367,Sq. Ft.
West Mall Outdoor Pool,35000082,370 THE WEST MALL,Etobicoke,Ontario,M9C 1E4,Canada,Other - Public Services,374,Sq. Ft.
West Mall Outdoor Rink,35000083,370 THE WEST MALL,Etobicoke,Ontario,M9C 1E4,Canada,Other - Public Services,364,Sq. Ft.
West Humber Parkland,35000080, WEST HUMBER BLVD,Etobicoke,Ontario,M9W 3M6,Canada,Other - Public Services,368,Sq. Ft.
West Lodge Park,35000081,165 LANSDOWNE AVE,Toronto,Ontario,M6K 2W1,Canada,Other - Public Services,1,Sq. Ft.
Willowdale Park,35000094,75 HOLLYWOOD AVE,North York,Ontario,M2N 3K1,Canada,Other - Public Services,183,Sq. Ft.
Willowdale Park Tennis,35000095,75 HOLLYWOOD AVE,North York,Ontario,M2N 3K1,Canada,Other - Public Services,369,Sq. Ft.
Wigmore Park,35000092,106 WIGMORE DR,North York,Ontario,M4A 2E8,Canada,Other - Public Services,375,Sq. Ft.
Wilket Creek Park,35000093,1132 LESLIE ST,North York,Ontario,M3C 3L7,Canada,Other - Public Services,361,Sq. Ft.
Westwood Park,35000090,90 Floyd Ave,Toronto,Ontario,M4K 2E4,Canada,Other - Public Services,365,Sq. Ft.
Wexford Park,35000091,55 ELM BANK RD,Scarborough,Ontario,M1R 2H6,Canada,Other - Public Services,1,Sq. Ft.
Weston Lions Park,35000088,2125 LAWRENCE AVE W,Toronto,Ontario,M9N 1H7,Canada,Other - Public Services,378,Sq. Ft.
Westway Outdoor Rink,35000089,175 THE WESTWAY,Etobicoke,Ontario,M9P 2C2,Canada,Other - Public Services,366,Sq. Ft.
Wanless Park,35000070,250 WANLESS AVE,Toronto,Ontario,M4N 1W5,Canada,Other - Public Services,373,Sq. Ft.
Water's Edge Promenade,35000071,15 Merchants Wharf,Toronto,Ontario,M5A 0N8,Canada,Other - Public Services,1,Sq. Ft.
Wadsworth Park,35000068,120 CONNOLLY ST,Toronto,Ontario,M6N 1E7,Canada,Other - Public Services,220,Sq. Ft.
Walter Saunders Memorial Park,35000069,426 Hopewell Ave.,Toronto,Ontario,M6B 4M4,Canada,Other - Public Services,1,Sq. Ft.
Vine Avenue Playground,35000066,200 VINE AVE,Toronto,Ontario,M6P 1V9,Canada,Other - Public Services,354,Sq. Ft.
Vradenberg Park,35000067,40 VRADENBERG DR,Scarborough,Ontario,M1T 1M6,Canada,Other - Public Services,1,Sq. Ft.
Viewmount Park,35000064,169 VIEWMOUNT AVE,Toronto,Ontario,M6B 1T5,Canada,Other - Public Services,356,Sq. Ft.
Village of Yorkville Park,35000065,115 CUMBERLAND ST,Toronto,Ontario,M5R 1A2,Canada,Other - Public Services,58,Sq. Ft.
West Deane Outdoor Rink,35000078,410 MARTIN GROVE RD,Etobicoke,Ontario,M9B 4L9,Canada,Other - Public Services,225,Sq. Ft.
West Deane Park,35000079, ANTIOCH DR,Etobicoke,Ontario,M9B 3B2,Canada,Other - Public Services,1,Sq. Ft.
Wells Hill Park,35000076,145 Hilton Ave.,Toronto,Ontario,M5R 3B1,Canada,Other - Public Services,1,Sq. Ft.
West Deane Outdoor Pool,35000077,19 SEDGEBROOK CRES,Etobicoke,Ontario,M9B 2X2,Canada,Other - Public Services,362,Sq. Ft.
Wellesley Park,35000074,500 WELLESLEY ST E,Toronto,Ontario,M4X 1H9,Canada,Other - Public Services,372,Sq. Ft.
Wellesworth Park,35000075,55 DIXFIELD DR,Etobicoke,Ontario,M9C 4J2,Canada,Other - Public Services,1,Sq. Ft.
Wedgewood Park Outdoor Pool,35000072,15 SWAN AVE,Etobicoke,Ontario,M9B 1V3,Canada,Other - Public Services,379,Sq. Ft.
Wedgewood Park Outdoor Rink,35000073,15 SWAN AVE,Etobicoke,Ontario,M9B 1V3,Canada,Other - Public Services,363,Sq. Ft.
Carpark 109,35000118,51 ABERDEEN AVE,Toronto,Ontario,M4X 1A1,Canada,Parking,35,Sq. Ft.
Carpark 11,35000119,21 PLEASANT BLVD,Toronto,Ontario,M4T 1K2,Canada,Parking,55700,Sq. Ft.
