Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
2340 Dundas St W (Crossways),34999095,2340 Dundas St.W.,Toronto,Ontario,M6P 4A9,Canada,Office,1,Sq. Ft.
2118 Danforth Ave - Ward 19 Office,34999092,2118 Danforth Ave,Toronto,Ontario,M4C 1J9,Canada,Office,1,Sq. Ft.
2141 Kipling Ave - Ward 1 Office,34999093,2141 Kipling Ave,Etobicoke,Ontario,M9W 4K8,Canada,Office,1,Sq. Ft.
18 Dyas Rd.,34999090,18 DYAS RD,North York,Ontario,M3B 1V5,Canada,Office,73927,Sq. Ft.
2 Civic Centre Court,34999091,2 CIVIC CENTRE CRT,Etobicoke,Ontario,M9C 5A3,Canada,Office,46145,Sq. Ft.
175 Memorial Park Ave,34999089,175 MEMORIAL PARK AVE,Toronto,Ontario,M4J 2K5,Canada,Office,6394,Sq. Ft.
Archives and Records Centre,34999102,255 SPADINA RD,Toronto,Ontario,M5R 2V3,Canada,Office,39590,Sq. Ft.
Atlantic Ave Storage Bldg,34999103,98 ATLANTIC AVE,Toronto,Ontario,M6K 1X9,Canada,Office,43002,Sq. Ft.
53 Strachan Ave,34999100,805 WELLINGTON ST,Toronto,Ontario,M5V 1G8,Canada,Office,49213,Sq. Ft.
51 Lisgar,34999099,51 LISGAR ST,Toronto,Ontario,M6J 0B9,Canada,Office,10053,Sq. Ft.
275 Merton St,34999096,275 MERTON ST,Toronto,Ontario,M4S 1A7,Canada,Office,66747,Sq. Ft.
2800 Keele,34999097,2800 Keele St,North York,Ontario,M3M 0B8,Canada,Office,1,Sq. Ft.
Old City Hall,34999126,60 QUEEN ST W,Toronto,Ontario,M5H 2M3,Canada,Office,350494,Sq. Ft.
Property Dept Workshop,34999127,786 DUNDAS ST E,Toronto,Ontario,M4M 1R1,Canada,Office,39170,Sq. Ft.
North York Civic Centre,34999124,5100 YONGE ST,North York,Ontario,M2N 5V7,Canada,Office,303518,Sq. Ft.
North York District Office,34999125,1118 FINCH AVE W,North York,Ontario,M3J 3J4,Canada,Office,11501,Sq. Ft.
High Park Office,34999122,140 Colborne Dr.,Toronto,Ontario,M6R 2Z3,Canada,Office,2228,Sq. Ft.
